predicted_popularity_score,product_category,product_brand,avg_product_price,year,month,actual_popularity_score
12.076155662536621,Tops & Tees,Neon Buddha,43.0,2024,10,12
19.6848201751709,Jumpsuits & Rompers,Rocawear,56.880001068115234,2024,5,20
22.027408599853516,Blazers & Jackets,Alex Evenings,119.98999786376952,2024,5,22
16.081916809082031,Intimates,SEX NIGHT,24.0,2024,5,15
6.3460712432861328,Jeans,TWELVE K,15.0,2021,9,6
18.822832107543945,Plus,ASICS,22.0,2021,9,19
25.843120574951172,Outerwear & Coats,JOHN DEERE,79.989997863769531,2021,2,26
17.002246856689453,Tops & Tees,Tommy Hilfiger,21.989999771118164,2020,9,17
16.309389114379883,Sleep & Lounge,Disney,25.0,2020,9,16
13.871706008911133,Sweaters,Shaper Corset,36.9900016784668,2024,11,13
28.110734939575195,Outerwear & Coats,Boston Harbour,247.5,2022,10,28
16.0168514251709,Tops & Tees,Tommy Bahama,38.860000610351562,2022,5,16
7.1359820365905762,Suits & Sport Coats,Port Authority,56.630001068115234,2022,5,6
22.007883071899414,Pants,Toddland,58.0,2022,5,22
17.046552658081055,Swim,DC,54.0,2022,5,17
29.634765625,Sweaters,Edwards,24.950000762939453,2023,9,30
22.718460083007812,Underwear,Calvin Klein,36.330001831054688,2024,10,23
13.18364429473877,Tops & Tees,Hurley,20.0,2024,6,13
30.40363883972168,Pants,Ralph Lauren,142.22000122070312,2024,10,31
22.022565841674805,Sweaters,Cashmere Selection,95.989997863769517,2023,12,22
13.27534294128418,Underwear,Calvin Klein,58.0,2024,6,13
15.164216995239258,Socks & Hosiery,Calvin Klein,25.0,2021,3,15
14.906966209411621,Accessories,Ray-Ban,127.15000152587892,2021,3,15
19.857398986816406,Outerwear & Coats,Allegra K,20.8799991607666,2024,4,20
30.85899543762207,Active,Glamorise,31.989999771118164,2019,9,31
9.020146369934082,Intimates,Nike,903.0,2019,9,9
14.003106117248535,Sweaters,Cheap Monday,100.0,2020,2,14
19.9642276763916,Active,Minus33 Merino Wool,14.5,2024,11,20
30.796802520751953,Suits & Sport Coats,Allegra K,21.25,2022,8,31
28.992218017578125,Tops & Tees,Kenneth Cole REACTION,29.989999771118164,2022,5,29
13.110047340393066,Swim,Eco Swim,64.0,2024,12,13
31.919229507446289,Outerwear & Coats,Volcom,95.0,2024,5,32
21.727317810058594,Fashion Hoodies & Sweatshirts,Juicy Couture,79.989997863769531,2021,10,22
18.10887336730957,Dresses,Kensie,78.0,2021,10,18
17.117742538452148,Intimates,Intimates Boutique,27.0,2021,10,17
14.124231338500977,Pants & Capris,Anue,79.949996948242173,2024,4,14
